Merge Request ID,Merge Request URL,State,Opened Date,Closed Date,Comments
969,"https://gitlab.com/promyze/app/promyze/-/merge_requests/969",merged,2024-11-12T11:37:10.290Z,2024-11-12T11:42:39.740Z,6
968,"https://gitlab.com/promyze/app/promyze/-/merge_requests/968",merged,2024-11-12T09:52:16.065Z,2024-11-12T09:53:59.433Z,6
967,"https://gitlab.com/promyze/app/promyze/-/merge_requests/967",merged,2024-11-08T16:20:35.254Z,2024-11-12T10:02:47.840Z,2
966,"https://gitlab.com/promyze/app/promyze/-/merge_requests/966",merged,2024-11-08T15:50:29.738Z,2024-11-08T16:02:34.770Z,6
965,"https://gitlab.com/promyze/app/promyze/-/merge_requests/965",merged,2024-11-08T15:49:47.814Z,2024-11-08T16:25:32.953Z,6
964,"https://gitlab.com/promyze/app/promyze/-/merge_requests/964",merged,2024-11-08T14:25:24.093Z,2024-11-08T14:26:46.223Z,6
963,"https://gitlab.com/promyze/app/promyze/-/merge_requests/963",merged,2024-11-08T13:13:48.418Z,2024-11-12T10:34:49.147Z,4
962,"https://gitlab.com/promyze/app/promyze/-/merge_requests/962",merged,2024-11-08T11:24:11.748Z,2024-11-08T11:39:42.775Z,6
961,"https://gitlab.com/promyze/app/promyze/-/merge_requests/961",merged,2024-11-08T10:30:55.681Z,2024-11-08T14:41:08.296Z,6
960,"https://gitlab.com/promyze/app/promyze/-/merge_requests/960",merged,2024-11-08T10:30:55.580Z,2024-11-08T10:41:02.919Z,6
959,"https://gitlab.com/promyze/app/promyze/-/merge_requests/959",merged,2024-11-07T17:12:31.269Z,2024-11-08T12:59:37.558Z,2
958,"https://gitlab.com/promyze/app/promyze/-/merge_requests/958",merged,2024-11-07T16:33:32.755Z,2024-11-07T16:55:49.427Z,6
957,"https://gitlab.com/promyze/app/promyze/-/merge_requests/957",merged,2024-11-07T16:12:55.754Z,2024-11-07T16:14:31.848Z,6
956,"https://gitlab.com/promyze/app/promyze/-/merge_requests/956",merged,2024-11-07T16:12:49.869Z,2024-11-07T16:14:37.443Z,6
955,"https://gitlab.com/promyze/app/promyze/-/merge_requests/955",merged,2024-11-07T15:19:31.944Z,2024-11-07T15:23:59.789Z,6
954,"https://gitlab.com/promyze/app/promyze/-/merge_requests/954",merged,2024-11-07T15:18:59.645Z,2024-11-07T15:21:18.761Z,6
953,"https://gitlab.com/promyze/app/promyze/-/merge_requests/953",merged,2024-11-07T10:38:42.109Z,2024-11-07T10:40:31.300Z,6
952,"https://gitlab.com/promyze/app/promyze/-/merge_requests/952",merged,2024-11-07T10:15:01.231Z,2024-11-07T10:16:43.088Z,6
951,"https://gitlab.com/promyze/app/promyze/-/merge_requests/951",merged,2024-11-07T07:30:13.567Z,2024-11-07T07:32:20.453Z,4
950,"https://gitlab.com/promyze/app/promyze/-/merge_requests/950",merged,2024-11-06T14:53:17.551Z,2024-11-06T15:03:35.264Z,6
949,"https://gitlab.com/promyze/app/promyze/-/merge_requests/949",merged,2024-11-06T14:52:16.748Z,2024-11-06T16:05:57.023Z,6
948,"https://gitlab.com/promyze/app/promyze/-/merge_requests/948",merged,2024-11-06T13:55:00.176Z,2024-11-06T14:11:38.918Z,6
947,"https://gitlab.com/promyze/app/promyze/-/merge_requests/947",merged,2024-11-06T10:11:53.694Z,2024-11-06T10:13:35.592Z,6
946,"https://gitlab.com/promyze/app/promyze/-/merge_requests/946",merged,2024-11-05T20:49:57.867Z,2024-11-12T14:06:00.291Z,8
945,"https://gitlab.com/promyze/app/promyze/-/merge_requests/945",merged,2024-11-05T13:30:59.465Z,2024-11-07T15:47:01.565Z,6
944,"https://gitlab.com/promyze/app/promyze/-/merge_requests/944",merged,2024-11-05T11:34:36.251Z,2024-11-07T13:30:06.909Z,6
943,"https://gitlab.com/promyze/app/promyze/-/merge_requests/943",merged,2024-11-05T11:34:03.468Z,2024-11-05T15:02:52.003Z,6
942,"https://gitlab.com/promyze/app/promyze/-/merge_requests/942",merged,2024-11-05T10:55:20.058Z,2024-11-05T10:59:10.147Z,6
941,"https://gitlab.com/promyze/app/promyze/-/merge_requests/941",merged,2024-11-05T09:45:59.971Z,2024-11-05T09:47:39.728Z,6
940,"https://gitlab.com/promyze/app/promyze/-/merge_requests/940",merged,2024-11-05T09:45:59.621Z,2024-11-05T10:09:51.513Z,6
939,"https://gitlab.com/promyze/app/promyze/-/merge_requests/939",merged,2024-11-04T15:12:06.068Z,2024-11-04T15:20:17.461Z,6
938,"https://gitlab.com/promyze/app/promyze/-/merge_requests/938",merged,2024-11-04T15:11:59.734Z,2024-11-04T16:37:37.605Z,6
